text	kana	fed_text	sources
ホテルを予約した。	ホ'テルオ/ヨヤク'/_シタ'	ホテルを予約した。	confusables-eg
ほとんどの学生が出席した。	ホト'ンドノ/ガ_クセエガ'/シュッセキ'/_シタ'	ほとんどの学生が出席した。	confusables-eg
まだ終わっていません。	マ'ダ/オワッテ'/イマセ'ン	まだ終わっていません。	confusables-eg
マラソンを走りきった。	マラソンオ'/ハシリ'キッタ	マラソンを走りきった。	confusables-eg
まるで夢のようだ。	マルデ'/ユメ'ノ/ヨ'オダ	まるで夢のようだ。	confusables-eg
みんなのおかげで成功した。	ミンナ'ノ/オカゲデ'/セエコオ'/_シタ'	みんなのおかげで成功した。	confusables-eg
メールは届いたはずです。	メエルワ'/トド'イタ/ハズデ'_ス	メールは届いたはずです。	confusables-eg
メモが書いてある。	メ'モガ/カ'イテ/ア'ル	メモが書いてある。	confusables-eg
もう帰りましたよ。	モ'オ/カエリマ'_シタヨ	もうかえりましたよ。	confusables-eg
もし1億円あったとしたら、何をしますか。	モ'シ/イチオク'エン/ア'ッタト/_シタ'ラ、ナ'ニオ/シマ'_スカ	もし1億円あったとしたら、何をしますか。	confusables-eg
もし時間があれば、行きたい。	モ'シ/ジカンガ'/アレ'バ、イ_キタ'イ	もし時間があれば、行きたい。	confusables-eg
もっと早く言ってほしかった。	モ'ット/ハヤクイッテホシ'カッタ	もっと早く言ってほしかった。	confusables-eg
やっと荷物が届いた。	ヤット'/ニ'モツガ/トド'イタ	やっと荷物が届いた。	confusables-eg
やっと合格できた！	ヤット'/ゴオカク'/デキ'タ	やっと合格できた！	confusables-eg
やはり彼が犯人だった。	ヤハ'リ/カ'レガ/ハ'ンニンダッタ	やはり彼が犯人だった。	confusables-eg
ようやく結論に達した。	ヨオヤ_ク'/ケツロンニ'/タッ_シタ'	ようやく結論に達した。	confusables-eg
よく考えた上で返事する。	ヨ'_ク/カンガ'エタ/ウエデ'/ヘンジ'/スル'	よく考えた上で返事する。	confusables-eg
ろくに寝ていない。	ロクニ'/ネ'テ/イナイ'	ろくに寝ていない。	confusables-eg
わざわざ来てくれてありがとう。	ワ'ザワザ/キ'テ/クレテ'/アリ'ガトオ	わざわざ来てくれてありがとう。	confusables-eg
挨拶すらできない。	ア'イサ_ツスラ/デキ'ナイ	挨拶すらできない。	confusables-eg
暗い道は怖い。	クライ'/ミチワ'/コワ'イ	暗い道は怖い。	confusables-eg
一人しか来なかった。	_ヒト'リ_シカ/コ'ナカッタ	一人しか来なかった。	confusables-eg
一人だけ来た。	_ヒトリダケ'/キ'タ	一人だけ来た。	confusables-eg
一度やってみてください。	イチド'/ヤ'ッテ/ミ'テ/クダサ'イ	一度やってみてください。	confusables-eg
引き受けた上は責任を持つ。	_ヒキウケ'タ/ウエワ'/セキニンオ'/モ'ツ	引き受けた上は責任を持つ。	confusables-eg
雨が降り始めた。	ア'メガ/フリ'ハジメタ	雨が降り始めた。	confusables-eg
運動する習慣をつけたい。	ウンドオ'/スル'/シュウカンオ'/_ツケタ'イ	運動する習慣をつけたい。	confusables-eg
映画が始まった。	エエガガ'/ハジマッタ'	映画が始まった。	confusables-eg
映画の感想を書いた。	エエガノ'/カンソオオ'/カ'イタ	映画の感想を書いた。	confusables-eg
映画の中で一番好きな場面。	エエガノ'/ナ'カデ/イチバン_スキナ'/バ'メン	映画の中で一番好きな場面。	confusables-eg
映画館で映画を観た。	エエガカ'ンデ/エエガオ'/ミ'タ	映画館で映画を観た。	confusables-eg
駅前に人が集まっている。	エキマ'エニ/_ヒトガ'/アツマ'ッテ/イル'	駅前に人が集まっている。	confusables-eg
円をドルに換えた。	エ'ンオ/ド'ルニ/カエタ'	円をドルに換えた。	confusables-eg
音量を上げてください。	オンリョオオ'/アゲテ'/クダサ'イ	音量を上げてください。	confusables-eg
何度も教えた。それなのに覚えない。	ナン'ドモ/オシエタ'、ソレナ'ノニ/オボエ'ナイ	何度も教えた。それなのに覚えない。	confusables-eg
夏休みの計画を立てよう。	ナツヤ'スミノ/ケエカクオ'/タテ'ヨオ	夏休みの計画を立てよう。	confusables-eg
家に帰ったら、すぐ寝た。	イエ'ニ/カ'エッタラ、ス'グ/ネ'タ	家にかえったら、すぐ寝た。	confusables-eg
火事の原因を調査中です。	カ'ジノ/ゲンインオ'/チョオサチュウデ'_ス	火事の原因を調査中です。	confusables-eg
外国人向けの日本語教材。	ガイコクジン'ムケノ/ニホンゴキョ'オザイ	外国人向けの日本語教材。	confusables-eg
外出の際には鍵をかけてください。	ガイ_シュツノ'/サ'イニワ/カギ'オ/カケ'テ/クダサ'イ	外出の際には鍵をかけてください。	confusables-eg
街が騒がしい。何かあったのか。	マチ'ガ/サワガシ'イ、ナ'ニカ/ア'ッタ/ノカ'	街が騒がしい。何かあったのか。	confusables-eg
学生にとって、これは難しい。	ガ_クセエニ'/ト'ッテ、コレワ'/ムズカシ'イ	学生にとって、これは難しい。	confusables-eg
学生は勉強するべきだ。	ガ_クセエワ'/ベンキョオ'/スルベ'キダ	学生は勉強するべきだ。	confusables-eg
寒いというより、凍えそうだ。	サム'イト/イウヨリ'、コゴエ'ソオダ	寒いというより、凍えそうだ。	confusables-eg
漢字さえ読めれば合格できる。	カンジサ'エ/ヨメ'レバ/ゴオカク'/デキ'ル	漢字さえ読めれば合格できる。	confusables-eg
環境問題について話し合った。	カンキョオモ'ンダイニ/ツ'イテ/ハナシア'ッタ	環境問題について話し合った。	confusables-eg
関係者のみ入場可。	カンケエシャノ'ミ/ニュウジョオカ'	関係者のみ入場可。	confusables-eg
頑張ったのに不合格だった。	ガンバ'ッタノニ/フゴ'オカクダッタ	頑張ったのに不合格だった。	confusables-eg
奇妙な感覚に襲われた。	キ'ミョオナ/カンカクニ'/オソ'ワレタ	奇妙な感覚に襲われた。	confusables-eg
季節が変わった。	キ'セツガ/カワッタ'	季節が変わった。	confusables-eg
久しぶりに友達に会った。	_ヒサシブリニ'/トモダチニ'/ア'ッタ	久しぶりに友達に会った。	confusables-eg
休むどころか、前より忙しい。	ヤス'ムドコロカ、マ'エヨリ/イソガシ'イ	休むどころか、前より忙しい。	confusables-eg
急に雨が降り出した。	キュウニ'/ア'メガ/フリダ'_シタ	急に雨が降り出した。	confusables-eg
恐ろしい速さで広がった。	オソロシイハヤ'サデ/ヒロガッタ'	恐ろしい速さで広がった。	confusables-eg
具体例を挙げて説明する。	グタイ'レエオ/アゲテ'/セツメエ'/スル'	具体例を挙げて説明する。	confusables-eg
経験によって対応が異なる。	ケエケンニ'/ヨッテ'/タイオオガ'/コトナ'ル	経験によって対応が異なる。	confusables-eg
経済が成長する一方で、環境が悪化している。	ケ'エザイガ/セエチョオ'/スル'/イッポ'オデ、カンキョオガ'/アッカ'/_シテ'/イル'	経済が成長する一方で、環境が悪化している。	confusables-eg
警告したにもかかわらず無視された。	ケエコク'/_シタニモ'/カカワラ'ズ/ム'_シ/サレタ'	警告したにもかかわらず無視された。	confusables-eg
鯨、すなわち哺乳類の一種。	クジラ'、スナ'ワ_チ/ホニュ'ウルイノ/イ'ッシュ	鯨、すなわち哺乳類の一種。	confusables-eg
欠席の理由を教えてください。	ケッセキノ'/リユウオ'/オシエテ'/クダサ'イ	欠席の理由を教えてください。	confusables-eg
決して諦めない。	ケッ_シテ'/アキラメ'ナイ	決して諦めない。	confusables-eg
決めた上は、迷わない。	キメタ'/ウエワ'、マヨワ'ナイ	決めた上は、迷わない。	confusables-eg
結果にかかわらず努力が大切だ。	ケッカニ'/カカワラ'ズ/ド'リョクガ/タイセツダ'	結果にかかわらず努力が大切だ。	confusables-eg
月日が経つのは早いものだ。	_ツキ'ヒガ/タ'ツ/ノワ'/ハヤ'イ/モノ'ダ	月日が経つのは早いものだ。	confusables-eg
減るどころか増えている。	ヘル'ドコロカ/フエ'テ/イル'	減るどころか増えている。	confusables-eg
国内のみならず、海外でも人気がある。	コク'ナイノミ/ナラ'ズ、カ'イガイデモ/ニンキガ'/ア'ル	国内のみならず、海外でも人気がある。	confusables-eg
今日は気分がいい。	キョ'オワ/キ'ブンガ/イ'イ	今日は気分がいい。	confusables-eg
今夜は星が見られるそうだ。	コ'ンヤワ/ホシガ'/ミラレ'ル/ソオダ'	今夜は星が見られるそうだ。	confusables-eg
最近、甘いものを食べなくなった。	サイキン'、アマイ'/モノ'オ/タベ'ナク/ナ'ッタ	最近、甘いものを食べなくなった。	confusables-eg
最近、忘れがちだ。	サイキン'、ワスレガチダ'	最近、忘れがちだ。	confusables-eg
細かい規則が煩わしい。	コマカ'イ/キ'ソクガ/ワズラワシ'イ	細かい規則が煩わしい。	confusables-eg
財布をなくしてしまった。	サイフオ'/ナ_クシテ'/シマ'ッタ	財布をなくしてしまった。	confusables-eg
作文を書き直した。	サクブンオ'/カキナオ'_シタ	作文を書き直した。	confusables-eg
昨日飲みすぎた。	キノ'オ/ノ'ミスギタ	昨日飲みすぎた。	confusables-eg
子供が食べられるように小さく切った。	コドモガ'/タベラレ'ル/ヨ'オニ/チイサ'_クキッタ	子供が食べられるように小さく切った。	confusables-eg
事故のために道が混んでいる。	ジ'コノ/タメ'ニ/ミチガ'/コ'ンデ/イル'	事故のために道が混んでいる。	confusables-eg
自分はできないくせに、人には厳しい。	ジブンワ'/デキ'ナイ/_クセ'ニ、_ヒトニワ'/キビシ'イ	自分はできないくせに、人には厳しい。	confusables-eg
自分は何もしないくせに文句を言う。	ジブンワ'/ナ'ニモ/シナイ'/_クセ'ニ/モ'ンクオ/イウ'	自分は何もしないくせに文句を言う。	confusables-eg
社長命令なので従わざるを得ない。	シャチョオメ'エレエナノデ/_シタガワザルオ'/エ'ナイ	社長命令なので従わざるを得ない。	confusables-eg
車を買うかわりに旅行に行こう。	クルマオ'/カウ'/カワリニ'/リョコオニ'/イコオ'	車を買うかわりに旅行に行こう。	confusables-eg
若いうちにいろいろ経験すべきだ。	ワカ'イ/ウチニ'/イロイロ'/ケエケン'/スベ'キダ	若いうちにいろいろ経験すべきだ。	confusables-eg
秋になってすっかり涼しくなった。	ア'キニ/ナ'ッテ/スッカ'リ/スズシ'クナッタ	秋になってすっかり涼しくなった。	confusables-eg
宿題は全部終わった。	_シュクダイワ'/ゼ'ンブ/オワッタ'	宿題は全部終わった。	confusables-eg
書類を受け取ってください。	ショルイオ'/ウケト'ッテ/クダサ'イ	書類を受け取ってください。	confusables-eg
書類を書くのは面倒だ。	ショルイオ'/カ'ク/ノワ'/メンド'オダ	書類を書くのは面倒だ。	confusables-eg
招待されたら行かないわけにはいかない。	ショ'オタイ/サレタ'ラ/イカナイ'/ワ'ケニワ/イカナイ'	招待されたら行かないわけにはいかない。	confusables-eg
上司に狎れた態度を取るな。	ジョ'オシニ/ナレ'タ/タ'イドオ/ト'ルナ	上司に狎れた態度を取るな。	confusables-eg
状況に応じて対策を変える。	ジョオキョオニ'/オオジテ'/タイサクオ'/カエル'	状況に応じて対策を変える。	confusables-eg
食べかけのパンがある。	タベカケ'ノ/パ'ンガ/ア'ル	食べかけのパンがある。	confusables-eg
食べたことは食べたが、おいしくなかった。	タベ'タ/コト'ワ/タベ'タガ、オイシ'クナカッタ	食べたことは食べたが、おいしくなかった。	confusables-eg
寝ているあいだに雪が降った。	ネ'テ/イル'/アイダニ'/ユキ'ガ/フ'ッタ	寝ているあいだに雪が降った。	confusables-eg
新しいプロジェクトを始めた。	アタラシ'イ/プロ'ジェ_クトオ/ハジメタ'	新しいプロジェクトを始めた。	confusables-eg
新年に当たってご挨拶申し上げます。	シ'ンネンニ/アタッテ'/ゴア'イサツ/モオシアゲマ'_ス	新年に当たってご挨拶申し上げます。	confusables-eg
親友まで裏切った。	シンユウマ'デ/ウラギ'ッタ	親友まで裏切った。	confusables-eg
睡眠不足だったから、眠いわけだ。	スイミンフ'ソクダッタカラ、ネムイ'/ワ'ケダ	睡眠不足だったから、眠いわけだ。	confusables-eg
性別を問わず応募できる。	セエベツオ'/トワ'ズ/オオボ'/デキ'ル	性別を問わず応募できる。	confusables-eg
晴れると思った。ところが大雨だった。	ハレ'ルト/オモ'ッタ、トコロ'ガ/オオア'メダッタ	晴れると思った。ところが大雨だった。	confusables-eg
赤ちゃんの機嫌が悪い。	ア'カチャンノ/キゲンガ'/ワル'イ	赤ちゃんの機嫌が悪い。	confusables-eg
切手を集めている。	キッテオ'/アツメ'テ/イル'	切手を集めている。	confusables-eg
絶対に許さない。	ゼッタイニ'/ユルサ'ナイ	絶対に許さない。	confusables-eg
先生に訊いてみよう。	センセ'エニ/キイテ'/ミ'ヨオ	先生に訊いてみよう。	confusables-eg
先輩に対して敬語を使う。	センパイニ'/タ'イ_シテ/ケエゴオ'/_ツカウ'	先輩に対して敬語を使う。	confusables-eg
全く同感です。	マッタク'/ドオカンデ'_ス	全く同感です。	confusables-eg
全然分からなかった。	ゼンゼン'/ワカラ'ナカッタ	全然分からなかった。	confusables-eg
待ち合わせの場所を決めよう。	マチアワセノ'/バショオ'/キメヨオ'	待ち合わせの場所を決めよう。	confusables-eg
台風に遭って大変だった。	タイフ'ウニ/ア'ッテ/タイヘンダッタ'	台風に遭って大変だった。	confusables-eg
大学に入るために勉強する。	ダイガクニ'/ハ'イル/タメ'ニ/ベンキョオ'/スル'	大学に入るために勉強する。	confusables-eg
知らない間に時間が過ぎていた。	シラナイ'/アイダニ'/ジカンガ'/スギ'テ/イタ'	知らない間に時間が過ぎていた。	confusables-eg
地震の場合はどうしますか。	ジシンノ'/バアイワ'/ド'オ/シマ'_スカ	地震の場合はどうしますか。	confusables-eg
爪を噛む癖がある。	ツメオ'/カ'ム/_クセ'ガ/ア'ル	爪を噛む癖がある。	confusables-eg
天気が良ければ、出かけよう。	テ'ンキガ/ヨ'ケレバ、デカケヨオ'	天気が良ければ、出かけよう。	confusables-eg
天気次第で出発する。	テ'ン_キ/シダイデ'/シュッパ_ツ'/スル'	天気次第で出発する。	confusables-eg
電気がついている。	デ'ンキガ/ツ'イテ/イル'	電気がついている。	confusables-eg
電車が止まった。それで遅刻した。	デンシャガ'/トマッタ'、ソレデ'/_チコク'/_シタ'	電車が止まった。それで遅刻した。	confusables-eg
頭がいい上に、性格もいい。	アタマ'ガ/イ'イ/ウエニ'、セエカクモ'/イ'イ	頭がいい上に、性格もいい。	confusables-eg
突然地震が起きた。	トツゼン'/ジシンガ'/オキ'タ	突然地震が起きた。	confusables-eg
届き次第連絡します。	トド'_キ/シダイ'/レンラ_ク'/シマ'_ス	届き次第連絡します。	confusables-eg
日本の生活に慣れた。	ニッポ'ンノ/セエカツニ'/ナレ'タ	日本の生活に慣れた。	confusables-eg
日本語が上手になってきた。	ニホンゴガ'/ジョオズ'ニ/ナ'ッテ/キ'タ	日本語が上手になってきた。	confusables-eg
日本語が話せるようになった。	ニホンゴガ'/ハナセ'ル/ヨ'オニ/ナ'ッタ	日本語が話せるようになった。	confusables-eg
日曜日はたいてい家にいる。	ニチヨ'オビワ/タイテエ'/イエ'ニ/イル'	日曜日はたいてい家にいる。	confusables-eg
熱があるので、休ませてください。	ネツ'ガ/ア'ルノデ、ヤス'マセテ/クダサ'イ	熱があるので、休ませてください。	confusables-eg
熱があるようだ。	ネツ'ガ/ア'ル/ヨ'オダ	熱があるようだ。	confusables-eg
髪の色を変えた。	カミ'ノ/イロ'オ/カエタ'	髪の色を変えた。	confusables-eg
犯人がAだとすると、Bにはアリバイがある。	ハ'ンニンガ/エ'イ/ダ'トスルト、ビ'イ/ニワ'/アリバイガ'/ア'ル	犯人がAだとすると、Bにはアリバイがある。	confusables-eg
彼、怒ってるみたいだよ。	カ'レ、オコッテ'ル/ミ'タイダヨ	彼、怒ってるみたいだよ。	confusables-eg
彼が犯人に違いない。	カ'レガ/ハ'ンニンニ/チガイナイ'	彼が犯人に違いない。	confusables-eg
彼にはめったに会えない。	カ'レニワ/メ'ッタニ/アエ'ナイ	彼にはめったに会えない。	confusables-eg
彼にメッセージを伝えてください。	カ'レニ/メ'ッセエジオ/_ツタエテ'/クダサ'イ	彼にメッセージを伝えてください。	confusables-eg
彼のせいで遅刻した。	カ'レノ/セ'イデ/_チコク'/_シタ'	彼のせいで遅刻した。	confusables-eg
彼の意見を受け入れた。	カ'レノ/イ'ケンオ/ウケイレ'タ	彼の意見を受け入れた。	confusables-eg
彼の気持ちを理解してあげてください。	カ'レノ/キモチオ'/リ'カイ/_シテ'/アゲ'テ/クダサ'イ	彼の気持ちを理解してあげてください。	confusables-eg
彼の考えには賛成できない。	カ'レノ/カンガ'エニワ/サンセエ'/デキ'ナイ	彼の考えには賛成できない。	confusables-eg
彼の証言は事実に相違ない。	カ'レノ/ショオゲンワ'/ジ'ジツニ/ソオイ'/ナ'イ	彼の証言は事実に相違ない。	confusables-eg
彼の名前を知っていますか。	カ'レノ/ナマエオ'/シッテ'/イマ'_スカ	彼の名前を知っていますか。	confusables-eg
彼はきっと来るよ。	カ'レワ/キット'/ク'ルヨ	彼はきっと来るよ。	confusables-eg
彼はわざと無視した。	カ'レワ/ワ'ザト/ム'シ/_シタ'	彼はわざと無視した。	confusables-eg
彼は英語ばかりか、中国語も話せる。	カ'レワ/エエゴバ'カリカ、チュウゴク'ゴモ/ハナセ'ル	彼は英語ばかりか、中国語も話せる。	confusables-eg
彼は社長の息子、つまり二世だ。	カ'レワ/シャチョオノ'/ム_スコ'、ツマリ'/ニ'セエダ	彼は社長の息子、つまり二世だ。	confusables-eg
彼は真面目な反面、融通が利かない。	カ'レワ/マジメナ'/ハンメン'、ユウズウガ'/_キカナイ'	彼は真面目な反面、融通が利かない。	confusables-eg
彼女に花を届けた。	カ'ノジョニ/ハナ'オ/トドケ'タ	彼女に花を届けた。	confusables-eg
彼女は怒りっぽい。	カ'ノジョワ/オコリ'ッポイ	彼女は怒りっぽい。	confusables-eg
彼女への気持ちを伝えた。	カノジョ'エノ/キモチオ'/_ツタエタ'	彼女えの気持ちを伝えた。	confusables-eg
疲れた。しかし頑張る。	_ツカレ'タ、_シカ'シ/ガンバ'ル	疲れた。しかし頑張る。	confusables-eg
必ず提出してください。	カナラズ'/テエ_シュツ'/_シテ'/クダサ'イ	必ず提出してください。	confusables-eg
不思議なことが起きた。	_フシギナ'/コト'ガ/オキ'タ	不思議なことが起きた。	confusables-eg
富士山に登ったことがある。	フ'ジサンニ/ノボッタ'/コト'ガ/ア'ル	富士山に登ったことがある。	confusables-eg
風邪を引いたら休むことだ。	カゼオ'/ヒイタ'ラ/ヤス'ム/コト'ダ	風邪を引いたら休むことだ。	confusables-eg
分からなかった。そこで先生に聞いた。	ワカラ'ナカッタ、ソコデ'/センセ'エニ/キイタ'	分からなかった。そこで先生に聞いた。	confusables-eg
文句ばかり言っている。	モ'ンクバカリ/イッテ'/イル'	文句ばかり言っている。	confusables-eg
別れが悲しい。	ワカレ'ガ/カナシ'イ	別れが悲しい。	confusables-eg
便利には便利だが、値段が高い。	ベ'ンリニワ/ベ'ンリダガ、ネダンガ'/タカ'イ	便利には便利だが、値段が高い。	confusables-eg
法律に基づいて処理する。	ホオリツニ'/モトズ'イテ/ショ'リ/スル'	法律に基づいて処理する。	confusables-eg
忘れないようにメモした。	ワスレナイ'/ヨ'オニ/メ'モ/_シタ'	忘れないようにメモした。	confusables-eg
忙しかった。そういうわけで連絡できなかった。	イソガシ'カッタ、ソオユウ'/ワ'ケデ/レンラク'/デキ'ナカッタ	忙しかった。そういうわけで連絡できなかった。	confusables-eg
毎朝ニュースを見る。	マ'イアサ/ニュ'ウスオ/ミ'ル	毎朝ニュースを見る。	confusables-eg
毎日残業で辛い。	マ'イニチ/ザンギョオデ'/ツラ'イ	毎日残業で辛い。	confusables-eg
