file	sentence	voicevox_says	kuromoji_expects	has_r
n4_18.json	夏は冷えたジュースが美味しい。汗をかいたタオルは庭で乾かして、すぐ乾きます。	なつわひえたじゅうすがおいしいあせおかいたたおるわにわでかわかしてすぐかわきます	なつわひえたじゅすがおいしいあせおかいたたおるわにわでかわかしてすぐかわきます	
n4_19.json	いつもは会社に通う毎日が同じパターン、でも今日は特別な日です。	いつもわかいしゃにかよおまいにちがおなじぱたあんでもきょおわとくべつなひです	いつもわかいしゃにかよおまいにちがおなじぱたんでもきょおわとくべつなひです	
n4_19.json	上司から『今日は遅刻するな』と叱られましたが、終わったら褒められて、皆で謝って驚いて、ちょっと怒って、最後はみんなで二人の幸せを祈りました。	じょおしからきょおわちこくするなとしかられましたがおわったらほめられてみなであやまっておどろいてちょっとおこってさいごわみんなでふたりのしあわせおいのりました	じょおしからきょおわちこくするなとしかられましたがおわったらほめられてみなであやまっておどろいてちょっとおこってさいごわみんなでににんのしあわせおいのりました	
n4_21.json	お父さんが3日前に入院しましたが、昨日無事退院、みんなで安心しました。	おとおさんがみっかまえににゅういんしましたがきのおぶじたいんみんなであんしんしました	おとおさんがにちまえににゅういんしましたがきのおぶじたいんみんなであんしんしました	
n4_21.json	現地に到着したら、利用するサービスをまず確認します。	げんちにとおちゃくしたらりよおするさあびすおまずかくにんします	げんちにとおちゃくしたらりよおするさびすおまずかくにんします	
n4_22.json	窓を拭いて、お風呂の壁を磨いて、洗濯物を干して、シャツを畳んで、ギフトを包んで、新聞紙で縛る — 一日中作業しました。	まどおふいておふろのかべおみがいてせんたくものおほしてしゃつおたたんでぎふとおつつんでしんぶんしでしばるいちにちじゅうさぎょおしました	まどおふいておふろのかべおみがいてせんたくぶつおほしてしゃつおたたんでぎふとおつつんでしんぶんしでしばるいちにちちゅうさぎょおしました	
n4_22.json	庭には花を植えて、ハーブも育てる予定です。	にわにわわなおえてわあぶもそだてるよてえです	にわにわわなおえてわぶもそだてるよてえです	
n4_22.json	散歩もしながら、ガーデニングを楽しみたいです。	さんぽもしながらがあでにんぐおたのしみたいです	さんぽもしながらがでにんぐおたのしみたいです	
n4_23.json	庭でボールを投げて、犬が口で噛んで持って帰ってきます。落とした物を踏まないように歩きます。	にわでぼおるおなげてえぬがくちでかんでもってかえってきますおとしたものおふまないよおにあるきます	にわでぼるおなげてえぬがくちでかんでもってかえってきますおとしたものおふまないよおにあるきます	
n4_23.json	最近、サッカーの試合をよく見ます。選手がボールを蹴って、ゴールを打つ瞬間が最高です。	さいきんさっかあのしあいおよくみますせんしゅがぼおるおけってごおるおつしゅんかんがさいこおです	さいきんさっかのしあいおよくみますせんしゅがぼるおけってごるおつしゅんかんがさいこおです	
n4_23.json	重い物を引いたり、押したり、手を振って応援したり、ボールを握って力を入れたり。	おもいものおひいたりおしたりておふっておえんしたりぼおるおにぎってちからおいれたり	おもいものおひいたりおしたりておふっておえんしたりぼるおにぎってちからおいれたり	
n4_23.json	赤ちゃんを抱いて、ドアを叩くお客さんに反応する犬。リードを掴んで一緒に散歩へ。	あかちゃんおだいてどあおたたくおきゃくさんにわんのおするいぬりいどおつかんでえっしょにさんぽえ	あかちゃんおだいてどあおたたくおきゃくさんにわんのおするいぬりどおつかんでえっしょにさんぽえ	
n4_23.json	ハーブの葉に触ると、いい香り。風が吹いて、お茶を吸って一服、深呼吸。	わあぶのわにさわるといかおりかぜがふいておちゃおすってえっぷくしんこきゅう	わぶのわにさわるといかおりかぜがふいておちゃおすってえっぷくしんこきゅう	
n4_23.json	数えると、今日来たお客さんは10人以上。	かぞえるときょおきたおきゃくさんわじゅうにんいじょお	かぞえるときょおきたおきゃくさんわにんいじょお	
n4_23.json	ニュースを調べて、他のお店と比べて、いいサービスを試してみたいです。	にゅうすおしらべてたのおみせとくらべてえいさあびすおためしてみたいです	にゅすおしらべてたのおみせとくらべてえいさびすおためしてみたいです	
n4_24.json	先週、サッカーの大会に参加しました。	せんしゅうさっかあのたいかいにさんかしました	せんしゅうさっかのたいかいにさんかしました	
n4_24.json	ルールを確かめて、相手を探して、戦う相手を選びました。	るうるおたしかめてあいておさがしてたたかうあいておえらびました	るるおたしかめてあいておさがしてたたかうあいておえらびました	
n4_24.json	試合中、相手を追いかけて、ボールを捕まえようとしましたが、相手選手が逃げました。最後にゴール前で捕まりました。	しあいちゅうあいておいかけてぼおるおつかまえよおとしましたがあいてせんしゅがにげましたさいごにごおるまえでつかまりました	しあいちゅうあいておいかけてぼるおつかまえよおとしましたがあいてせんしゅがにげましたさいごにごるまえでつかまりました	
n4_24.json	私は守りに専念。激しい競争でした。	わたしわまもりにせんねんわげしいきょおそおでした	わたしわもりにせんねんわげしいきょおそおでした	
n4_24.json	最後、勝つことができました!負けたチームも諦めずに頑張りました。	さいごかつことができましたまけたちいむもあきらめずにがんばりました	さいごかつことができましたまけたちむもあきらめずにがんばりました	
n4_24.json	友達が泥棒を捕まえたニュースを思い出しました。あの時、忘れた財布も後で見つけてくれたんです。	ともだちがどろぼおつかまえたにゅうすおもいだしましたあのときわすれたさいふもあとでみつけてくれたんです	ともだちがどろぼおつかまえたにゅすおもいだしましたあのときわすれたさいふもあとでみつけてくれたんです	
n4_24.json	審判の判定を信じて、相手を疑わないこと。これがスポーツマンシップだと思います。	しんぱんのわんてえおしんじてあいておたがわないことこれがすぽおつまんしっぷだとおもいます	しんぱんのわんてえおしんじてあいておたがわないことこれがすぽつまんしっぷだとおもいます	
n4_25.json	『お客様の細かいことまで気にして構う、これがいいサービス』と店長は言います。	おきゃくさまのこまかいことまできにしてかまうこれがいさあびすとてんちょおわいます	おきゃくさまのこまかいことまできにしてかまうこれがいさびすとてんちょおわいます	
n4_27.json	最後の入院は本当に辛くて、悲しいし、苦しい時間でした。	さいごのにゅういんわほんとおにからくてかなしいしくるしいじかんでした	さいごのにゅういんわほんとおにつらくてかなしいしくるしいじかんでした	
n4_28.json	色も、濃いブルーと薄いピンク、鋭い赤と鈍い緑が並びます。	いろもこいぶるうとおすいぴんくするどいあかとにぶいみどりがならびます	いろもこいぶるとおすいぴんくするどいあかとにぶいみどりがならびます	
n4_32.json	とうとう試験まで残り1ヶ月、やがて結果も出ます。	とおとおしけんまでのこりいっかげつやがてけっかもでます	とおとおしけんまでのこりかげつやがてけっかもでます	
n4_33.json	直接話すよりも、間接的にメッセージで伝える方が楽な時もあります。	ちょくせつわなすよりもかんせつてきにめっせえじでつたえるほおがらくなときもあります	ちょくせつわなすよりもかんせつてきにめっせじでつたえるほおがらくなときもあります	
n4_35.json	『それでは、それなら明日も外出しません。それとも、屋内のスポーツでも?』。	それでわそれならあしたもがいしゅつしませんそれともおくないのすぽおつでも	それでわそれならあしたもがいしゅつしませんそれともおくないのすぽつでも	
n4_35.json	『ところが、ジムも休館。ところで、最近何してる?しかし、退屈は嫌い』。	ところがじむもきゅうかんところでさいきんなんしてるしかしたいくつわきらい	ところがじむもきゅうかんところでさいきんなにしてるしかしたいくつわきらい	
n4_37.json	先輩との食事の後は『ご馳走様でした』。	せんぱいとのしょくじのあとわごちそおさまでした	せんぱいとのしょくじののちわごちそおさまでした	
n5_0.json	家族は四人です。お父さん、お母さん、お兄さん、僕です。	かぞくわよにんですおとおさんおかあさんおにいさんぼくです	かぞくわよんにんですおとおさんおかあさんおにいさんぼくです	
n5_1.json	両親は二人とも会社員。お父さんは銀行員、お母さんは小学校の先生です。	りょおしんわふたりともかいしゃいんおとおさんわぎんこおいんおかあさんわしょおがっこおのせんせえです	りょおしんわににんともかいしゃいんおとおさんわぎんこおいんおかあさんわしょおがっこおのせんせえです	
n5_1.json	弟と妹は中学生で、兄弟みんなでゲームをしています。	おとおとといもおとわちゅうがくせえできょおだいみんなでげえむおしてえます	おとおとといもおとわちゅうがくせえできょおだいみんなでげむおしてえます	
n5_1.json	おじさんは警官、おばさんも会社員で、二人ともよく働いています。	おじさんわけえかんおばさんもかいしゃいんでふたりともよくわたらいてえます	おじさんわけえかんおばさんもかいしゃいんでににんともよくわたらいてえます	
n5_2.json	今朝、コンビニで店員の仕事をしました。今日は午前7時から午後3時までです。	けさこんびにでてんいんのしごとおしましたきょおわごぜんしちじからごごさんじまでです	けさこんびにでてんいんのしごとおしましたきょおわごぜんじからごごじまでです	
n5_2.json	毎朝6時に起きて、昼はお弁当を食べます。	まいあさろくじにおきてひるわおべんとおたべます	まいあさじにおきてひるわおべんとおたべます	
n5_2.json	毎月一回、おじさんに会いに行きます。今、自分の時間がもっと欲しいです。	まいつきいっかいおじさんにあいにいきますいまじぶんのじかんがもっとほしいです	まいつきいちかいおじさんにあいにいきますいまじぶんのじかんがもっとほしいです	
n5_3.json	今月で20歳になります。誕生日は明後日の日曜日。来月から新しいクラブを始めます。	こんげつでにじゅっさいになりますたんじょおびわみょおごにちのにちよおびらいげつからあたらしいくらぶおわじめます	こんげつでさいになりますたんじょおびわみょおごにちのにちよおびらいげつからあたらしいくらぶおわじめます	
n5_5.json	お母さんとデパートとスーパーで買い物をして、駅前の店で本を買って、喫茶店でケーキを食べました。	おかあさんとでぱあととすうぱあでかいものおしてえきまえのみせでほんおかってきっさてんでけえきおたべました	おかあさんとでぱととすぱでかいものおしてえきまえのみせでほんおかってきっさてんでけきおたべました	
n5_5.json	夜はホテルでパーティー。庭がとても綺麗でした。	よるわほてるでぱあてぃいにわがとてもきれえでした	よるわほてるでぱてぃにわがとてもきれえでした	
n5_6.json	空港の入口でパスポートをチェックして、出口でタクシーに乗りました。	くうこおのいりぐちでぱすぽおとおちぇっくしてでぐちでたくしいにのりました	くうこおのいりぐちでぱすぽとおちぇっくしてでぐちでたくしにのりました	
n5_6.json	ホテルにはプールがあって、エレベーターを使うか階段で上に行きます。	ほてるにわぷうるがあってえれべえたあおつかうかかいだんでうえにいきます	ほてるにわぷるがあってえれべたおつかうかかいだんでうえにいきます	
n5_6.json	私の部屋は5階で、門の前に大きな木があります。	わたしのえやわごかいでもんのまえにおきなきがあります	わたしのえやわかいでもんのまえにおきなきがあります	
n5_7.json	家の隣はコンビニ、家の横は小さな公園、コンビニと公園の間に小さな店があります。	いえのとなりわこんびにいえのよこわちいさなこおえんこんびにとこおえんのあいだにちいさなみせがあります	いえのとなりわこんびにいえのよこわちいさなこおえんこんびにとこおえんのまにちいさなみせがあります	
n5_8.json	お父さんは仕事の後、晩ご飯と一緒にお酒を少し飲みます。	おとおさんわしごとのあとばんごわんといっしょにおさけおすこしのみます	おとおさんわしごとののちばんごわんといっしょにおさけおすこしのみます	
n5_8.json	私は甘いお菓子より、コーヒーや紅茶のほうが好きです。	わたしわあまいおかしよりこおひいやこおちゃのほおがすきです	わたしわあまいおかしよりこひやこおちゃのほおがすきです	
n5_8.json	夏は水とジュースをよく飲んで、冬はお茶で温まります。	なつわみずとじゅうすおよくのんでふゆわおちゃであたたまります	なつわみずとじゅすおよくのんでふゆわおちゃであたたまります	
n5_9.json	ノートに鉛筆とペンとボールペンで書いていて、間違えたら消しゴムを使います。	のおとにえんぴつとぺんとぼおるぺんでかいてえてまちがえたらけしごむおつかいます	のとにえんぴつとぺんとぼるぺんでかいてえてまちがえたらけしごむおつかいます	
n5_10.json	テーブルの上には、写真と花、それから時計を入れる小さな箱があります。財布もここに置いてあります。	てえぶるのおえにわしゃしんとわなそれからとけえおいれるちいさなわこがありますさいふもここにおいてあります	てぶるのおえにわしゃしんとわなそれからとけえおいれるちいさなわこがありますさいふもここにおいてあります	
n5_10.json	電気を消す前に、テレビとラジオも切って、電話もマナーモードにしました。	でんきおけすまえにてれびとらじおもきってでんわもまなあもおどにしました	でんきおけすまえにてれびとらじおもきってでんわもまなもどにしました	
n5_11.json	朝、お風呂の後、石鹸で手を洗って、新しいタオルを使います。	あさおふろのあとせっけんでておあらってあたらしいたおるおつかいます	あさおふろののちせっけんでておあらってあたらしいたおるおつかいます	
n5_11.json	朝ご飯はコップに水、茶碗にご飯、皿にパン。箸とスプーン、フォークも使います。	あさごわんわこっぷにみずちゃわんにごわんさらにぱんわしとすぷうんふぉおくもつかいます	あさごわんわこっぷにみずちゃわんにごわんさらにぱんわしとすぷんふぉくもつかいます	
n5_11.json	冬はセーターとコートとズボン、夏はTシャツとスカート。	ふゆわせえたあとこおととずぼんなつわてぃいしゃつとすかあと	ふゆわせたとこととずぼんなつわてぃしゃつとすかと	
n5_13.json	公園の池には鳥がたくさん、近くの木の下に犬と猫がいました。	こおえんのいけにわとりがたくさんちかくのきのしたにいぬとねこがいました	こおえんのいけにわとりがたくさんちかくのこのしたにいぬとねこがいました	
n5_13.json	帰りはタクシーとバスを使って、最後に飛行機で家へ。	かえりわたくしいとばすおつかってさいごにひこおきでえ	かえりわたくしとばすおつかってさいごにひこおきでえ	
n5_14.json	先生から答えをもらって、ノートに書いて、家で練習します。	せんせえからこたえおもらってのおとにかいてえでれんしゅうします	せんせえからこたえおもらってのとにかいてえでれんしゅうします	
n5_14.json	スポーツも好きで、友達とサッカーとテニスをします。	すぽおつもすきでともだちとさっかあとてにすおします	すぽつもすきでともだちとさっかとてにすおします	
n5_15.json	東京で大きなパーティーがあって、お祭りみたいな楽しさだと思います。	とおきょおでおきなぱあてぃいがあっておまつりみたいなたのしさだとおもいます	とおきょおでおきなぱてぃがあっておまつりみたいなたのしさだとおもいます	
n5_15.json	結婚式の前に、デパートでプレゼントを買いました。お土産もたくさん持っていきます。	けっこんしきのまえにでぱあとでぷれぜんとおかいましたおみやげもたくさんもってえきます	けっこんしきのまえにでぱとでぷれぜんとおかいましたおみやげもたくさんもってえきます	
n5_15.json	結婚式の後はみんなでゲームをしたり、水泳もする予定です。	けっこんしきのあとわみんなでげえむおしたりすいえもするよてえです	けっこんしきののちわみんなでげむおしたりすいえもするよてえです	
n5_16.json	ふと、雨の音が聞こえてきました。本を開いて、ページをめくります。	ふとあめのおとがきこえてきましたほんおひらいてぺえじおめくります	ふとあめのおとがきこえてきましたほんおひらいてぺじおめくります	
n5_16.json	夜、トイレに何回も行きました。朝はゆっくりシャワーを浴びました。	よるといれになんかいもいきましたあさわゆっくりしゃわあおあびました	よるといれになんかいもいきましたあさわゆっくりしゃわおあびました	
n5_17.json	毎朝、ニュースを見るのが習慣です。	まいあさにゅうすおみるのがしゅうかんです	まいあさにゅすおみるのがしゅうかんです	
n5_17.json	日本のニュースと中国のニュースを両方見ます。	にっぽんのにゅうすとちゅうごくのにゅうすおりょおほおみます	にっぽんのにゅすとちゅうごくのにゅすおりょおほおみます	
n5_17.json	ノートに一つ、二つ、三つ、四つと書いていきます。	のおとにひとつふたつみっつよっつとかいてえきます	のとにひとつふたつみっつよっつとかいてえきます	
n5_18.json	韓国、アメリカ、イギリス、フランス、ドイツ、全部行ってみたいです。	かんこくあめりかいぎりすふらんすどいつぜんぶいってみたいです	かんこくあめりかいぎりすふらんすどいつぜんぶおこなってみたいです	
n5_18.json	朝7時に起きて、夜11時に寝る。これが毎日のリズムです。	あさしちじにおきてよるじゅういちじにねるこれがまいにちのりずむです	あさじにおきてよるじにねるこれがまいにちのりずむです	
n5_18.json	電気をつけて、テレビを見て、お湯にコーヒーを入れます。	でんきおつけててれびおみておゆにこおひいおいれます	でんきおつけててれびおみておゆにこひおいれます	
n5_18.json	覚えたい言葉が多くて、忘れないようにノートに書きます。	おぼえたいことばがおくてわすれないよおにのおとにかきます	おぼえたいことばがおくてわすれないよおにのとにかきます	
n5_19.json	シャワーを浴びて、服を着て、出かけます。	しゃわあおあびてふくおきてでかけます	しゃわおあびてふくおきてでかけます	
n5_19.json	歩いて行くのが疲れたので、タクシーを止めました。	あるいてえくのがつかれたのでたくしいおとめました	あるいてえくのがつかれたのでたくしおとめました	
n5_19.json	私は2000年に生まれました。今は社会人になりたいと考えています。	わたしわにせんねんにうまれましたいまわしゃかいじんになりたいとかんがえてえます	わたしわねんにうまれましたいまわしゃかいじんになりたいとかんがえてえます	
n5_20.json	ニュースを聞いて、新聞を読みました。	にゅうすおきいてしんぶんおよみました	にゅすおきいてしんぶんおよみました	
n5_20.json	ノートに今日の予定を書きました。	のおとにきょおのよてえおかきました	のとにきょおのよてえおかきました	
n5_20.json	朝ご飯にコーヒーを飲んで、お弁当も買いました。	あさごわんにこおひいおのんでおべんとおもかいました	あさごわんにこひおのんでおべんとおもかいました	
n5_21.json	ドアが開いて、お客様が来ました。コーヒーを淹れて、カップを机に置きました。	どあがひらいておきゃくさまがきましたこおひいおいれてかっぷおつくえにおきました	どあがひらいておきゃくさまがきましたこひお淹れてかっぷおつくえにおきました	
n5_21.json	お客様がボタンを押して、追加注文。冷蔵庫を開けて、卵を取って、ケーキを切ります。	おきゃくさまがぼたんおしてついかちゅうもんれえぞおこおあけてたまごおとってけえきおきります	おきゃくさまがぼたんおしてついかちゅうもんれえぞおこおあけてたまごおとってけきおきります	
n5_21.json	カウンターからお皿を引いて、お客様に渡しました。写真を撮りたいというお客様にもメニューを渡しました。	かうんたあからおさらおひいておきゃくさまにわたしましたしゃしんおとりたいというおきゃくさまにもめにゅうおわたしました	かうんたからおさらおひいておきゃくさまにわたしましたしゃしんおとりたいというおきゃくさまにもめにゅおわたしました	
n5_21.json	お客様が帰ったあと、お皿を洗って、磨いて、テーブルを綺麗にします。	おきゃくさまがかえったあとおさらおあらってみがいててえぶるおきれえにします	おきゃくさまがかえったあとおさらおあらってみがいててぶるおきれえにします	
n5_22.json	会社まで電車で1時間掛かります。お昼休みには公園で休んで、鳥が飛んでいるのを見ました。	かいしゃまででんしゃでえちじかんかかりますおひるやすみにわこおえんでやすんでとりがとんでえるのおみました	かいしゃまででんしゃでじかんかかりますおひるやすみにわこおえんでやすんでとりがとんでえるのおみました	
n5_22.json	窓の外で風が吹いて、雨も降り始めました。	まどのそとでかぜがふいてあめもふりわじめました	まどのそとでかぜがふいてあめもおりわじめました	
n5_22.json	先輩がギターを弾いて、誰かが歌を歌っていました。	せんぱいがぎたあおひいてだれかがうたおたってえました	せんぱいがぎたおひいてだれかがうたおたってえました	
n5_22.json	メールを送りたかったけど、なかなか出せませんでした。	めえるおくりたかったけどなかなかだせませんでした	めるおくりたかったけどなかなかだせませんでした	
n5_22.json	気持ちが消えなくて、まだよく知らないことが多いです。一週間が終わって、休みたいです。	きもちがきえなくてまだよくしらないことがおいですいっしゅうかんがおわってやすみたいです	きもちがきえなくてまだよくしらないことがおいですいちしゅうかんがおわってやすみたいです	
n5_23.json	家で靴を脱いで、別の服を履いて、暖かい帽子を被りました。	いえでくつおぬいでべつのふくおわいてあたたかいぼおしおかむりました	いえでくつおぬいでべつのふくおわいてあたたかいぼおしおこおむりました	
n5_23.json	友達が手作りのケーキをくれて、私もお礼にお茶をあげました。お母さんからもプレゼントをもらいました。	ともだちがてずくりのけえきおくれてわたしもおれえにおちゃおあげましたおかあさんからもぷれぜんとおもらいました	ともだちがてずくりのけきおくれてわたしもおれえにおちゃおあげましたおかあさんからもぷれぜんとおもらいました	
n5_24.json	毎日忙しくて、料理する、洗濯する、掃除する、ぜんぶ二人で分担しています。	まいにちいそがしくてりょおりするせんたくするそおじするぜんぶふたりでぶんたんしてえます	まいにちいそがしくてりょおりするせんたくするそおじするぜんぶににんでぶんたんしてえます	
n5_24.json	安い式場は逆に小さくて、二人で座れないくらいでした。	やすいしきじょおわぎゃくにちいさくてふたりですわれないくらいでした	やすいしきじょおわぎゃくにちいさくてににんですわれないくらいでした	
n5_24.json	両親に電話して、招待状をコピーして、毎日が準備の日。心配する気持ちが消えません。	りょおしんにでんわしてしょおたいじょおこぴいしてまいにちがじゅんびのひしんぱいするきもちがきえません	りょおしんにでんわしてしょおたいじょおこぴしてまいにちがじゅんびのひしんぱいするきもちがきえません	
n5_24.json	セール中の家具を買い物して、低いテーブルを選びました。結婚式の歌も少し練習しています。	せえるちゅうのかぐおかいものしてひくいてえぶるおえらびましたけっこんしきのおたもすこしれんしゅうしてえます	せるちゅうのかぐおかいものしてひくいてぶるおえらびましたけっこんしきのおたもすこしれんしゅうしてえます	
n5_26.json	カフェのケーキは甘くて美味しい、でもインドのカレーは辛くて不味い時もあります。	かふぇのけえきわあまくておいしいでもいんどのかれえわからくてまずいときもあります	かふぇのけきわあまくておいしいでもいんどのかれわつらくてまずいときもあります	
n5_26.json	熱いコーヒーを急いで飲んで、口が痛い!	あついこおひいおいそいでのんでくちがいたい	あついこひおいそいでのんでくちがいたい	
